City,State,Year,Anti-Jewish,Anti-Islamic,Full,clean,lat,long
Round Rock,TX,2013,0,0,Texas,"round rock, texas",30.509042,-97.677217
Round Rock,TX,2014,0,0,Texas,"round rock, texas",30.509042,-97.677217
Round Rock,TX,2015,0,0,Texas,"round rock, texas",30.509042,-97.677217
Walton,FL,2010,0,0,Florida,"walton, florida",30.5640199,-86.1751759
Walton,FL,2011,1,0,Florida,"walton, florida",30.5640199,-86.1751759
Walton,FL,2012,0,0,Florida,"walton, florida",30.5640199,-86.1751759
Walton,FL,2013,0,0,Florida,"walton, florida",30.5640199,-86.1751759
Walton,FL,2014,0,0,Florida,"walton, florida",30.5640199,-86.1751759
Walton,FL,2015,0,0,Florida,"walton, florida",30.5640199,-86.1751759
Nogales,AZ,2010,0,0,Arizona,"nogales, arizona",31.3403775,-110.9342532
Nogales,AZ,2011,0,0,Arizona,"nogales, arizona",31.3403775,-110.9342532
Nogales,AZ,2012,0,0,Arizona,"nogales, arizona",31.3403775,-110.9342532
Nogales,AZ,2013,0,0,Arizona,"nogales, arizona",31.3403775,-110.9342532
Nogales,AZ,2014,0,0,Arizona,"nogales, arizona",31.3403775,-110.9342532
Nogales,AZ,2015,0,1,Arizona,"nogales, arizona",31.3403775,-110.9342532
San Angelo,TX,2010,0,0,Texas,"san angelo, texas",31.461502,-100.442417
San Angelo,TX,2011,0,0,Texas,"san angelo, texas",31.461502,-100.442417
San Angelo,TX,2012,0,0,Texas,"san angelo, texas",31.461502,-100.442417
San Angelo,TX,2013,0,0,Texas,"san angelo, texas",31.461502,-100.442417
San Angelo,TX,2014,0,0,Texas,"san angelo, texas",31.461502,-100.442417
San Angelo,TX,2015,1,0,Texas,"san angelo, texas",31.461502,-100.442417
El Paso,TX,2010,0,0,Texas,"el paso, texas",31.759163,-106.487487
El Paso,TX,2011,0,0,Texas,"el paso, texas",31.759163,-106.487487
El Paso,TX,2012,0,0,Texas,"el paso, texas",31.759163,-106.487487
El Paso,TX,2013,0,0,Texas,"el paso, texas",31.759163,-106.487487
El Paso,TX,2014,0,0,Texas,"el paso, texas",31.759163,-106.487487
El Paso,TX,2015,0,1,Texas,"el paso, texas",31.759163,-106.487487
Tucson,AZ,2010,3,2,Arizona,"tucson, arizona",32.221551,-110.969758
Tucson,AZ,2011,0,0,Arizona,"tucson, arizona",32.221551,-110.969758
Tucson,AZ,2012,1,2,Arizona,"tucson, arizona",32.221551,-110.969758
Tucson,AZ,2013,2,2,Arizona,"tucson, arizona",32.221551,-110.969758
